Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2	PxK_sample_type
SRX25986258	SRR30563128	2024-10-28 16:24:27	2024-09-05 19:09:04	68088682	20562781964	68088682	302	6108		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR030/30563/SRR30563128/SRR30563128.lite.1	JG4d	RNA-Seq	cDNA_randomPriming	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP530799	PRJNA1150654		1150654	SRS22560821	SAMN43294001	simple	511145	Escherichia coli str. K-12 substr. MG1655	ispg-2d-4							no					UNIVERSITY OF CALIFORNIA, RIVERSIDE	SRA1964017		public	937D7BBC4DFB645DB9BA8BE6ED9320FE	1B9549940442427BAED9D8E0E6532716			
SRX25986259	SRR30563127	2024-10-28 16:24:27	2024-09-05 18:59:03	43900111	13257833522	43900111	302	3945		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR030/30563/SRR30563127/SRR30563127.lite.1	JG5d	RNA-Seq	cDNA_randomPriming	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP530799	PRJNA1150654		1150654	SRS22560822	SAMN43294002	simple	511145	Escherichia coli str. K-12 substr. MG1655	ispg-2d-5							no					UNIVERSITY OF CALIFORNIA, RIVERSIDE	SRA1964017		public	1B63C5666A29E2FAE11482D858394605	108DD65C899B6296501D63E6D617F38F			
SRX25986260	SRR30563126	2024-10-28 16:24:27	2024-09-05 18:59:18	38611096	11660550992	38611096	302	3458		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR030/30563/SRR30563126/SRR30563126.lite.1	JG6d	RNA-Seq	cDNA_randomPriming	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP530799	PRJNA1150654		1150654	SRS22560823	SAMN43294003	simple	511145	Escherichia coli str. K-12 substr. MG1655	ispg-2d-6							no					UNIVERSITY OF CALIFORNIA, RIVERSIDE	SRA1964017		public	C122C5BF88CCF8D6F1CDF647C0099C21	80D968C47FFDAD62375D3474AEC35DA5			
SRX25986261	SRR30563125	2024-10-28 16:24:27	2024-09-05 18:59:47	43770030	13218549060	43770030	302	3916		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR030/30563/SRR30563125/SRR30563125.lite.1	JG7d	RNA-Seq	cDNA_randomPriming	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP530799	PRJNA1150654		1150654	SRS22560824	SAMN43294004	simple	511145	Escherichia coli str. K-12 substr. MG1655	ctrl-d-7							no					UNIVERSITY OF CALIFORNIA, RIVERSIDE	SRA1964017		public	513E297DA9F732B80177B1FAA0C83656	E9197A5A83696358402B6136816265A2			
SRX25986262	SRR30563124	2024-10-28 16:24:27	2024-09-05 19:01:05	63664653	19226725206	63664653	302	5729		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR030/30563/SRR30563124/SRR30563124.lite.1	JG8d	RNA-Seq	cDNA_randomPriming	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP530799	PRJNA1150654		1150654	SRS22560825	SAMN43294005	simple	511145	Escherichia coli str. K-12 substr. MG1655	ctrl-d-8							no					UNIVERSITY OF CALIFORNIA, RIVERSIDE	SRA1964017		public	BE7DE5D1B2B8042F94D054ECA4AEE864	6408A38BE6B41881D1E1005EAD5892EF			
SRX25986263	SRR30563123	2024-10-28 16:24:27	2024-09-05 18:58:21	53028794	16014695788	53028794	302	4831		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR030/30563/SRR30563123/SRR30563123.lite.1	JG9d	RNA-Seq	cDNA_randomPriming	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP530799	PRJNA1150654		1150654	SRS22560826	SAMN43294006	simple	511145	Escherichia coli str. K-12 substr. MG1655	ctrl-d-9							no					UNIVERSITY OF CALIFORNIA, RIVERSIDE	SRA1964017		public	1428232B218B61E2B08BB07CB54F6007	310C51DBB1B1180DA184EABAF7CEFB33			
SRX23379002	SRR27712588	2024-10-25 0:47:17	2024-01-24 13:09:53	12108297	3656705694	12108297	302	1047		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR027/27712/SRR27712588/SRR27712588.lite.1	HDA6	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP485650	PRJNA1067568		1067568	SRS20240885	SAMN39531211	simple	511145	Escherichia coli str. K-12 substr. MG1655	2mM3							no					CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1791002		public	51795B0A9440945A38901914BA7160DB	D93365CDCC7B603CAFFC250BEED4F6C6			
SRX23379003	SRR27712587	2024-10-25 0:47:17	2024-01-24 13:08:57	13572630	4098934260	13572630	302	1170		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR027/27712/SRR27712587/SRR27712587.lite.1	HDA7	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP485650	PRJNA1067568		1067568	SRS20240886	SAMN39531212	simple	511145	Escherichia coli str. K-12 substr. MG1655	13mM1							no					CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1791002		public	78EC2F1466FAF8B1D9E9849D5BD2CC55	75DDB8FABE07D1C31BC6481ADFD9C272			
SRX23379004	SRR27712586	2024-10-25 0:47:17	2024-01-24 13:08:52	11481170	3467313340	11481170	302	995		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR027/27712/SRR27712586/SRR27712586.lite.1	HDA8	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP485650	PRJNA1067568		1067568	SRS20240887	SAMN39531213	simple	511145	Escherichia coli str. K-12 substr. MG1655	13mM2							no					CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1791002		public	329F4D054431189D9D6D6E601CC20CC4	A8BA112A6EF73EAF5CC69D4FF67D74D1			
SRX23378997	SRR27712593	2024-10-25 0:47:16	2024-01-24 13:08:02	14449406	4363720612	14449406	302	1245		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR027/27712/SRR27712593/SRR27712593.lite.1	HDA1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP485650	PRJNA1067568		1067568	SRS20240882	SAMN39531206	simple	511145	Escherichia coli str. K-12 substr. MG1655	Ctrl1							no					CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1791002		public	EE6B8A03D8D898C669987618ADC14F5E	123A2E0E267A69F4AC8C63FCCB37A932			
